id,mutcd,name,class,speed,lat,lon,first_seen
3.0708E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.57698428,-77.60693523,10/13/2023
3.13943E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.57463316,-77.60378396,10/13/2023
2.70299E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.57414536,-77.60203569,10/13/2023
9.28652E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.5828029,-77.60410369,10/13/2023
7.13455E+15,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.58387848,-77.60432124,10/13/2023
7.3422E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58580819,-77.60712717,10/13/2023
1.44653E+15,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.58296462,-77.60267692,10/13/2023
3.61848E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58030772,-77.60551105,10/13/2023
3.61848E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58021148,-77.60544935,10/13/2023
1.99908E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58273218,-77.60899646,10/13/2023
4.6932E+14,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.59686689,-77.60653059,8/24/2018
4.69677E+14,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.59685242,-77.60621474,2/15/2018
7.30059E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59508042,-77.60370329,10/13/2023
1.64959E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59544328,-77.60687685,10/13/2023
4.06323E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59650186,-77.60718241,7/13/2024
1.43247E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59357647,-77.60786324,10/13/2023
1.13348E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59100104,-77.60442565,10/13/2023
7.36677E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59142732,-77.60728896,10/13/2023
7.34874E+14,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.59814107,-77.60686347,10/12/2023
1.20152E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.60492108,-77.60556322,10/13/2023
2.33959E+14,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.60267288,-77.60629134,10/12/2023
4.04072E+14,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.60281855,-77.6064961,10/12/2023
9.43295E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.60153833,-77.60532934,10/13/2023
4.21108E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.60188685,-77.60228695,10/13/2023
1.36487E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61292405,-77.60349708,10/13/2023
7.49129E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.60656331,-77.60270862,10/13/2023
1.39231E+15,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.60717634,-77.60271614,10/13/2023
7.35432E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.60717577,-77.60827373,10/13/2023
4.1844E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61305106,-77.60585689,10/13/2023
7.57594E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61245868,-77.60815517,10/12/2023
1.16529E+15,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.60640946,-77.60692771,7/13/2024
3.61966E+14,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.60852966,-77.60670518,10/12/2023
3.61966E+14,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.60852474,-77.60681421,10/12/2023
4.16236E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61204061,-77.60588809,10/13/2023
4.16236E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61259152,-77.60648421,10/13/2023
2.64107E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61435305,-77.60812946,10/13/2023
3.72339E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61523602,-77.60120676,10/13/2023
1.72936E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.62285036,-77.60169253,10/13/2023
3.52652E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61638735,-77.60892025,10/13/2023
1.12173E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61639178,-77.60871197,10/13/2023
1.12078E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.6202005,-77.60215692,10/13/2023
2.34074E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61953696,-77.60226619,10/13/2023
1.81208E+15,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.62345307,-77.60715518,10/12/2023
1.81209E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.62373498,-77.60417499,10/12/2023
1.12269E+15,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.62246486,-77.60569818,10/11/2023
3.7505E+14,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.62351767,-77.60705399,10/12/2023
4.06248E+14,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.62188634,-77.60642087,10/12/2023
3.6132E+14,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.62208323,-77.60698671,10/11/2023
1.36035E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.62604729,-77.60978592,10/12/2023
3.88768E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.62796684,-77.60875166,10/12/2023
